Add to Cart Browsing,Age Group,Browsing Frequency,Cart Abandonment Factors,Cart Completion Frequency,Gender,Improvement Areas,Personalized Recommendation Frequency,Product Search Method,Purchase Categories,Purchase Frequency,Recommendation Helpfulness,Review Helpfulness,Review Left,Review Reliability,Saveforlater Frequency,Search Result Exploration,Service Appreciation,Timestamp,Age,Customer Reviews Importance,Personalized Recommendation Frequency1,Rating Accuracy,Shopping Satisfaction
Maybe,26-35,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,Reducing packaging waste,Sometimes,categories,Clothing and Fashion,Multiple times a week,Sometimes,No,Yes,Occasionally,Sometimes,Multiple pages,Competitive prices,2023/06/07 11:02:45 PM GMT+5:30,26,3,4,3,3
Maybe,26-35,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,Reducing packaging waste,Sometimes,categories,Beauty and Personal Care,Multiple times a week,Sometimes,Sometimes,No,Moderately,Sometimes,Multiple pages,User-friendly website/app interface,2023/06/07 11:03:50 PM GMT+5:30,34,3,4,3,3
Maybe,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Reducing packaging waste,Sometimes,Filter,Beauty and Personal Care,Multiple times a week,Sometimes,Yes,Yes,Heavily,Sometimes,First page,Product recommendations,2023/06/07 11:05:19 PM GMT+5:30,23,3,3,3,3
Maybe,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Reducing packaging waste,Sometimes,Filter,Clothing and Fashion,Once a week,Sometimes,Sometimes,Yes,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/07 11:06:40 PM GMT+5:30,22,3,3,3,3
Maybe,26-35,Few times a week,Changed my mind or no longer need the item,Never,Prefer not to say,Reducing packaging waste,Sometimes,categories,Clothing and Fashion,Once a month,Sometimes,Sometimes,No,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/07 11:07:55 PM GMT+5:30,32,3,3,3,4
Yes,46-55,Multiple times a day,High shipping costs,Often,Female,Shipping speed and reliability,No,categories,Clothing and Fashion,Once a month,Sometimes,Yes,Yes,Moderately,Sometimes,Multiple pages,User-friendly website/app interface,2023/06/07 11:08:52 PM GMT+5:30,47,2,3,2,3
Maybe,16-25,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,Reducing packaging waste,Sometimes,categories,Beauty and Personal Care,Few times a month,Sometimes,Yes,No,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/07 11:10:09 PM GMT+5:30,22,3,3,3,3
Yes,46-55,Few times a week,Changed my mind or no longer need the item,Often,Male,Product quality and accuracy,No,Filter,Clothing and Fashion;Home and Kitchen;others,Few times a month,Yes,No,No,Moderately,Often,Multiple pages,Competitive prices,2023/06/08 3:23:21 AM GMT+5:30,47,2,3,2,2
Yes,16-25,Multiple times a day,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,No,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a month,Sometimes,Yes,No,Heavily,Often,Multiple pages,Competitive prices,2023/06/08 3:23:36 AM GMT+5:30,22,1,1,2,1
Maybe,36-45,Rarely,others,Never,Prefer not to say,Product quality and accuracy,Sometimes,others,Groceries and Gourmet Food;Beauty and Personal Care,Once a month,Sometimes,Sometimes,No,Never,Never,First page,User-friendly website/app interface,2023/06/08 3:23:58 AM GMT+5:30,45,5,5,5,5
Maybe,16-25,Rarely,Changed my mind or no longer need the item,Rarely,Male,Shipping speed and reliability,Sometimes,others,others,Less than once a month,Sometimes,No,No,Rarely,Rarely,First page,Wide product selection,2023/06/08 3:24:37 AM GMT+5:30,21,4,4,4,4
No,26-35,Few times a month,Found a better price elsewhere,Often,Others,Product quality and accuracy,No,categories,Beauty and Personal Care;Clothing and Fashion,Few times a month,Yes,No,Yes,Heavily,Often,Multiple pages,Wide product selection,2023/06/08 3:25:14 AM GMT+5:30,27,2,2,2,2
Maybe,36-45,Few times a week,Changed my mind or no longer need the item,Sometimes,Male,Customer service responsiveness,Sometimes,Keyword,Groceries and Gourmet Food;Home and Kitchen;others,Less than once a month,Sometimes,Sometimes,Yes,Heavily,Sometimes,Multiple pages,Wide product selection,2023/06/08 3:25:32 AM GMT+5:30,37,1,2,2,1
Yes,26-35,Few times a month,Changed my mind or no longer need the item,Always,Female,Reducing packaging waste,No,categories,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Multiple times a week,No,Yes,Yes,Moderately,Often,Multiple pages,Wide product selection,2023/06/08 3:26:03 AM GMT+5:30,33,1,2,3,2
No,16-25,Few times a month,Changed my mind or no longer need the item,Often,Others,Customer service responsiveness,No,categories,Beauty and Personal Care,Once a week,No,No,No,Occasionally,Often,First page,Product recommendations,2023/06/08 3:26:38 AM GMT+5:30,22,3,2,2,3
No,16-25,Multiple times a day,Changed my mind or no longer need the item,Often,Male,Product quality and accuracy,No,Filter,Clothing and Fashion;Home and Kitchen,Few times a month,No,No,No,Moderately,Often,Multiple pages,Wide product selection,2023/06/08 3:27:23 AM GMT+5:30,25,3,3,3,3
Yes,26-35,Multiple times a day,Found a better price elsewhere,Often,Female,Customer service responsiveness,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a month,Yes,Yes,No,Moderately,Often,Multiple pages,Product recommendations,2023/06/08 3:27:57 AM GMT+5:30,28,1,1,1,1
No,16-25,Rarely,Changed my mind or no longer need the item,Often,Prefer not to say,Shipping speed and reliability,No,Filter,Clothing and Fashion;Home and Kitchen;others,Few times a month,Sometimes,Sometimes,No,Never,Never,First page,User-friendly website/app interface,2023/06/08 3:28:23 AM GMT+5:30,17,3,5,5,5
No,16-25,Rarely,Changed my mind or no longer need the item,Sometimes,Male,Customer service responsiveness,No,Keyword,Clothing and Fashion;others,Once a month,No,No,No,Heavily,Rarely,First page,User-friendly website/app interface,2023/06/08 3:29:26 AM GMT+5:30,16,4,4,4,4
Maybe,26-35,Multiple times a day,Changed my mind or no longer need the item,Often,Male,Customer service responsiveness,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;others,Less than once a month,Sometimes,Sometimes,No,Moderately,Often,Multiple pages,Wide product selection,2023/06/08 3:30:05 AM GMT+5:30,32,1,2,2,1
Yes,26-35,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,No,categories,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Once a month,No,No,No,Heavily,Often,Multiple pages,Wide product selection,2023/06/08 3:30:19 AM GMT+5:30,27,1,1,2,2
No,16-25,Few times a week,High shipping costs,Often,Female,Shipping speed and reliability,No,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Few times a month,No,Sometimes,Yes,Heavily,Often,Multiple pages,Competitive prices,2023/06/08 3:32:42 AM GMT+5:30,18,2,1,2,2
No,36-45,Rarely,Changed my mind or no longer need the item,Often,Male,Product quality and accuracy,No,others,others,Less than once a month,Yes,Sometimes,No,Heavily,Never,First page,Wide product selection,2023/06/08 3:33:39 AM GMT+5:30,37,3,4,4,4
No,26-35,Few times a week,others,Sometimes,Male,Product quality and accuracy,Yes,categories,Clothing and Fashion,Once a month,Sometimes,Yes,Yes,Heavily,Sometimes,Multiple pages,Product recommendations,2023/06/08 7:00:57 AM GMT+5:30,28,1,2,3,3
Yes,46-55,Rarely,Found a better price elsewhere,Always,Female,Shipping speed and reliability,Sometimes,categories,Beauty and Personal Care,Less than once a month,Yes,Yes,No,Occasionally,Rarely,First page,Competitive prices,2023/06/08 7:33:15 AM GMT+5:30,48,5,3,3,2
Yes,46-55,Multiple times a day,Found a better price elsewhere,Sometimes,Female,Product quality and accuracy,Yes,others,Home and Kitchen,Multiple times a week,Yes,Yes,Yes,Moderately,Always,Multiple pages,Wide product selection,2023/06/08 8:59:45 AM GMT+5:30,50,3,2,3,3
Yes,16-25,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,User interface of app,No,Keyword,Clothing and Fashion;Home and Kitchen,Few times a month,Sometimes,Yes,Yes,Heavily,Sometimes,Multiple pages,Competitive prices,2023/06/08 9:16:26 AM GMT+5:30,24,1,3,3,2
No,36-45,Few times a week,Found a better price elsewhere,Always,Female,Product quality and accuracy,No,categories,Beauty and Personal Care;Clothing and Fashion;others,Few times a month,Sometimes,Sometimes,No,Never,Sometimes,First page,Product recommendations,2023/06/08 9:54:40 AM GMT+5:30,40,1,5,3,4
Yes,16-25,Multiple times a day,High shipping costs,Always,Female,Reducing packaging waste,No,Filter,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Multiple times a week,Yes,Yes,Yes,Heavily,Always,Multiple pages,Quick delivery,2023/06/08 10:54:00 AM GMT+5:30,25,1,1,1,3
Yes,26-35,Multiple times a day,Changed my mind or no longer need the item,Always,Male,Product quality and accuracy,No,Keyword,Beauty and Personal Care;Home and Kitchen;others,Once a week,Yes,Yes,Yes,Heavily,Sometimes,Multiple pages,Competitive prices,2023/06/08 11:59:14 AM GMT+5:30,31,4,2,3,1
No,16-25,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Shipping speed and reliability,No,Keyword,Clothing and Fashion,Once a month,Yes,Yes,Yes,Heavily,Always,Multiple pages,User-friendly website/app interface,2023/06/08 12:22:05 PM GMT+5:30,18,2,1,5,3
Yes,26-35,Few times a month,Found a better price elsewhere,Often,Female,Product quality and accuracy,Yes,categories,Beauty and Personal Care,Once a week,Yes,Yes,Yes,Moderately,Sometimes,Multiple pages,Wide product selection,2023/06/08 2:21:41 PM GMT+5:30,26,1,1,1,1
Yes,16-25,Few times a month,others,Often,Female,Product quality and accuracy,No,Keyword,Clothing and Fashion;Home and Kitchen,Less than once a month,Sometimes,Sometimes,Yes,Heavily,Rarely,Multiple pages,Wide product selection,2023/06/08 4:29:56 PM GMT+5:30,16,1,1,3,3
No,16-25,Multiple times a day,Found a better price elsewhere,Often,Male,Reducing packaging waste,Sometimes,categories,Beauty and Personal Care;Clothing and Fashion,Once a week,No,No,No,Moderately,Sometimes,First page,Competitive prices,2023/06/08 5:06:30 PM GMT+5:30,18,3,3,3,2
No,36-45,Few times a week,Found a better price elsewhere,Often,Male,Product quality and accuracy,No,Keyword,Home and Kitchen;others,Less than once a month,No,No,No,Moderately,Often,Multiple pages,Competitive prices,2023/06/08 5:07:19 PM GMT+5:30,40,3,2,2,2
Maybe,16-25,Multiple times a day,Found a better price elsewhere,Often,Female,Customer service responsiveness,Yes,Keyword,Beauty and Personal Care;Clothing and Fashion,Few times a month,Yes,Yes,Yes,Heavily,Often,Multiple pages,Wide product selection,2023/06/08 5:07:35 PM GMT+5:30,19,1,1,1,1
Yes,16-25,Few times a week,Changed my mind or no longer need the item,Sometimes,Prefer not to say,Shipping speed and reliability,Sometimes,Filter,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a month,No,Sometimes,No,Moderately,Often,Multiple pages,User-friendly website/app interface,2023/06/08 5:08:27 PM GMT+5:30,16,2,2,1,1
Maybe,36-45,Rarely,Found a better price elsewhere,Sometimes,Male,Customer service responsiveness,No,Keyword,Groceries and Gourmet Food;Home and Kitchen,Less than once a month,Sometimes,Sometimes,No,Occasionally,Sometimes,Multiple pages,Wide product selection,2023/06/08 5:09:31 PM GMT+5:30,43,3,1,3,2
Maybe,16-25,Few times a month,Changed my mind or no longer need the item,Sometimes,Prefer not to say,Reducing packaging waste,No,categories,Clothing and Fashion;Home and Kitchen;others,Once a week,No,No,No,Occasionally,Often,Multiple pages,Competitive prices,2023/06/08 5:11:27 PM GMT+5:30,25,3,4,2,3
Maybe,16-25,Multiple times a day,Found a better price elsewhere,Sometimes,Female,Product quality and accuracy,Sometimes,Keyword,Beauty and Personal Care;Clothing and Fashion;others,Once a month,Sometimes,Yes,Yes,Moderately,Sometimes,Multiple pages,Competitive prices,2023/06/08 5:13:33 PM GMT+5:30,22,1,1,2,1
No,16-25,Few times a month,Changed my mind or no longer need the item,Often,Prefer not to say,Customer service responsiveness,Sometimes,categories,Clothing and Fashion;others,Once a month,Sometimes,Sometimes,No,Moderately,Often,First page,Wide product selection,2023/06/08 5:14:30 PM GMT+5:30,17,3,4,4,4
Yes,26-35,Multiple times a day,Changed my mind or no longer need the item,Often,Male,Customer service responsiveness,Sometimes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Less than once a month,Yes,Sometimes,Yes,Heavily,Often,Multiple pages,Competitive prices,2023/06/08 5:15:27 PM GMT+5:30,34,1,1,1,1
Maybe,26-35,Few times a month,High shipping costs,Sometimes,Prefer not to say,Reducing packaging waste,Sometimes,others,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a month,Sometimes,Sometimes,No,Moderately,Often,First page,User-friendly website/app interface,2023/06/08 5:16:17 PM GMT+5:30,30,4,2,4,3
No,26-35,Few times a week,Changed my mind or no longer need the item,Often,Others,Reducing packaging waste,Sometimes,Filter,Home and Kitchen,Once a month,No,Sometimes,Yes,Occasionally,Sometimes,First page,Wide product selection,2023/06/08 5:17:10 PM GMT+5:30,31,3,4,2,2
No,26-35,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,Shipping speed and reliability,Sometimes,categories,Clothing and Fashion;Home and Kitchen,Few times a month,No,No,No,Moderately,Often,Multiple pages,Competitive prices,2023/06/08 5:19:23 PM GMT+5:30,31,3,2,2,2
Yes,26-35,Multiple times a day,High shipping costs,Always,Prefer not to say,Product quality and accuracy,Yes,Keyword,Beauty and Personal Care,Multiple times a week,Yes,Yes,Yes,Heavily,Always,Multiple pages,Wide product selection,2023/06/08 5:19:41 PM GMT+5:30,34,1,5,5,5
Yes,26-35,Few times a week,High shipping costs,Always,Female,Product quality and accuracy,No,categories,Clothing and Fashion,Once a month,Yes,Yes,Yes,Moderately,Often,Multiple pages,User-friendly website/app interface,2023/06/08 5:19:56 PM GMT+5:30,26,1,1,1,3
Maybe,26-35,Multiple times a day,Found a better price elsewhere,Sometimes,Male,Customer service responsiveness,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Once a month,Sometimes,Yes,Yes,Heavily,Sometimes,Multiple pages,Product recommendations,2023/06/08 5:20:43 PM GMT+5:30,26,1,1,1,1
Maybe,16-25,Rarely,Changed my mind or no longer need the item,Rarely,Prefer not to say,Customer service responsiveness,Sometimes,others,Clothing and Fashion;others,Less than once a month,Sometimes,No,No,Rarely,Rarely,First page,Product recommendations,2023/06/08 5:20:57 PM GMT+5:30,24,4,4,4,4
Maybe,26-35,Few times a week,Changed my mind or no longer need the item,Rarely,Female,Customer service responsiveness,No,categories,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Once a month,No,Sometimes,No,Rarely,Rarely,Multiple pages,Competitive prices,2023/06/08 5:22:08 PM GMT+5:30,26,3,4,4,3
Yes,26-35,Few times a week,Changed my mind or no longer need the item,Sometimes,Male,Reducing packaging waste,Sometimes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Less than once a month,Sometimes,Sometimes,No,Moderately,Rarely,Multiple pages,Product recommendations,2023/06/08 5:23:05 PM GMT+5:30,29,1,3,2,1
Yes,36-45,Multiple times a day,Changed my mind or no longer need the item,Sometimes,Prefer not to say,Product quality and accuracy,Yes,Filter,Beauty and Personal Care;Clothing and Fashion,Few times a month,No,Sometimes,No,Occasionally,Sometimes,First page,User-friendly website/app interface,2023/06/08 5:23:08 PM GMT+5:30,37,2,3,3,2
Maybe,26-35,Few times a week,Changed my mind or no longer need the item,Often,Others,Customer service responsiveness,Sometimes,Filter,Clothing and Fashion,Few times a month,No,Yes,No,Moderately,Often,First page,User-friendly website/app interface,2023/06/08 5:24:42 PM GMT+5:30,34,3,3,3,3
Maybe,26-35,Few times a week,Found a better price elsewhere,Often,Female,Customer service responsiveness,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Once a month,Sometimes,Yes,No,Heavily,Often,Multiple pages,Competitive prices,2023/06/08 5:25:27 PM GMT+5:30,31,1,2,3,1
Yes,26-35,Few times a month,Changed my mind or no longer need the item,Always,Male,Customer service responsiveness,No,categories,Beauty and Personal Care;Clothing and Fashion,Multiple times a week,Yes,Yes,No,Moderately,Often,First page,Product recommendations,2023/06/08 5:25:40 PM GMT+5:30,27,3,2,2,2
No,16-25,Few times a month,Found a better price elsewhere,Sometimes,Male,Product quality and accuracy,Sometimes,categories,Clothing and Fashion;Home and Kitchen;others,Once a month,Yes,No,No,Occasionally,Sometimes,First page,Wide product selection,2023/06/08 5:27:22 PM GMT+5:30,23,3,2,1,2
Maybe,16-25,Few times a month,Found a better price elsewhere,Always,Prefer not to say,Customer service responsiveness,Sometimes,categories,Beauty and Personal Care;Home and Kitchen;others,Once a month,No,Yes,Yes,Heavily,Often,First page,Wide product selection,2023/06/08 5:28:09 PM GMT+5:30,21,3,2,2,2
Yes,46-55,Few times a week,Found a better price elsewhere,Often,Male,Customer service responsiveness,Yes,Keyword,Groceries and Gourmet Food;Home and Kitchen,Less than once a month,Sometimes,Sometimes,No,Moderately,Often,Multiple pages,Wide product selection,2023/06/08 5:28:47 PM GMT+5:30,53,2,1,2,1
Maybe,26-35,Few times a week,Changed my mind or no longer need the item,Often,Prefer not to say,Shipping speed and reliability,No,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Once a month,Sometimes,Yes,Yes,Occasionally,Often,Multiple pages,Competitive prices,2023/06/08 5:29:01 PM GMT+5:30,26,2,3,2,2
No,26-35,Few times a month,Changed my mind or no longer need the item,Sometimes,Prefer not to say,Customer service responsiveness,Sometimes,categories,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,Yes,Sometimes,No,Moderately,Often,First page,Competitive prices,2023/06/08 5:30:12 PM GMT+5:30,28,3,2,2,2
Maybe,46-55,Multiple times a day,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Once a month,Sometimes,Sometimes,Yes,Occasionally,Sometimes,Multiple pages,Competitive prices,2023/06/08 5:30:34 PM GMT+5:30,47,3,2,3,2
Yes,36-45,Multiple times a day,Found a better price elsewhere,Always,Prefer not to say,Product quality and accuracy,Yes,Keyword,Clothing and Fashion;Home and Kitchen;others,Once a week,No,Yes,Yes,Heavily,Often,Multiple pages,Competitive prices,2023/06/08 5:31:03 PM GMT+5:30,37,1,2,2,2
No,36-45,Few times a week,Found a better price elsewhere,Often,Prefer not to say,Shipping speed and reliability,Sometimes,Filter,Groceries and Gourmet Food;Beauty and Personal Care;others,Once a week,No,No,Yes,Heavily,Often,Multiple pages,Product recommendations,2023/06/08 5:32:09 PM GMT+5:30,37,1,3,1,1
Maybe,36-45,Few times a week,Found a better price elsewhere,Sometimes,Male,Shipping speed and reliability,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Less than once a month,Sometimes,Sometimes,Yes,Rarely,Often,Multiple pages,Competitive prices,2023/06/08 5:32:12 PM GMT+5:30,39,3,5,3,2
No,36-45,Few times a month,Found a better price elsewhere,Often,Prefer not to say,Customer service responsiveness,No,categories,Groceries and Gourmet Food;Clothing and Fashion,Few times a month,No,Sometimes,No,Moderately,Sometimes,First page,Wide product selection,2023/06/08 5:33:01 PM GMT+5:30,40,3,2,2,3
Yes,16-25,Few times a month,Found a better price elsewhere,Often,Female,Shipping speed and reliability,Sometimes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care,Few times a month,No,Yes,Yes,Moderately,Never,Multiple pages,User-friendly website/app interface,2023/06/08 5:33:12 PM GMT+5:30,23,1,2,2,1
Maybe,16-25,Few times a week,Found a better price elsewhere,Often,Prefer not to say,Product quality and accuracy,No,Keyword,Clothing and Fashion;Home and Kitchen;others,Few times a month,No,Yes,Yes,Moderately,Sometimes,Multiple pages,Product recommendations,2023/06/08 5:34:27 PM GMT+5:30,25,2,2,2,2
Yes,26-35,Multiple times a day,Changed my mind or no longer need the item,Always,Female,Customer service responsiveness,Yes,Keyword,Beauty and Personal Care;Clothing and Fashion,Multiple times a week,Sometimes,Sometimes,Yes,Rarely,Always,Multiple pages,Competitive prices,2023/06/08 5:35:01 PM GMT+5:30,34,5,5,4,1
Yes,26-35,Few times a week,Changed my mind or no longer need the item,Often,Female,Shipping speed and reliability,No,Keyword,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Few times a month,Sometimes,Sometimes,No,Occasionally,Sometimes,Multiple pages,Competitive prices,2023/06/08 5:35:25 PM GMT+5:30,26,2,2,2,2
Maybe,26-35,Multiple times a day,Changed my mind or no longer need the item,Sometimes,Prefer not to say,Customer service responsiveness,No,Keyword,Clothing and Fashion;Home and Kitchen;others,Once a week,No,No,Yes,Moderately,Rarely,First page,Product recommendations,2023/06/08 5:36:14 PM GMT+5:30,31,3,4,2,3
No,26-35,Rarely,Found a better price elsewhere,Rarely,Female,Product quality and accuracy,Sometimes,categories,Clothing and Fashion;Home and Kitchen,Few times a month,No,Sometimes,No,Occasionally,Sometimes,Multiple pages,Wide product selection,2023/06/08 5:37:13 PM GMT+5:30,26,4,4,2,2
Maybe,26-35,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Customer service responsiveness,Sometimes,categories,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a month,Sometimes,No,Yes,Occasionally,Often,Multiple pages,Product recommendations,2023/06/08 5:37:58 PM GMT+5:30,34,3,2,3,3
Maybe,16-25,Multiple times a day,Found a better price elsewhere,Often,Female,Customer service responsiveness,Yes,Keyword,Beauty and Personal Care;Clothing and Fashion,Few times a month,Sometimes,Sometimes,No,Occasionally,Sometimes,Multiple pages,Wide product selection,2023/06/08 5:38:01 PM GMT+5:30,18,3,3,3,1
No,36-45,Few times a month,High shipping costs,Often,Male,Customer service responsiveness,Sometimes,others,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Few times a month,Yes,Sometimes,No,Moderately,Often,Multiple pages,Product recommendations,2023/06/08 5:38:57 PM GMT+5:30,40,3,2,2,2
Maybe,36-45,Few times a week,Changed my mind or no longer need the item,Often,Female,Customer service responsiveness,No,Keyword,Clothing and Fashion;Home and Kitchen;others,Few times a month,Sometimes,No,No,Occasionally,Rarely,First page,Product recommendations,2023/06/08 5:39:54 PM GMT+5:30,42,3,3,4,2
Maybe,26-35,Multiple times a day,Changed my mind or no longer need the item,Sometimes,Prefer not to say,Customer service responsiveness,Sometimes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Once a month,Sometimes,Sometimes,Yes,Moderately,Sometimes,Multiple pages,Competitive prices,2023/06/08 5:39:57 PM GMT+5:30,35,1,1,2,1
Yes,36-45,Few times a week,Found a better price elsewhere,Often,Male,Customer service responsiveness,No,Filter,Clothing and Fashion;Home and Kitchen;others,Once a month,Sometimes,No,No,Occasionally,Sometimes,First page,Wide product selection,2023/06/08 5:40:49 PM GMT+5:30,37,3,2,2,2
Maybe,46-55,Rarely,others,Never,Male,Product quality and accuracy,Sometimes,others,Home and Kitchen;others,Less than once a month,Sometimes,Sometimes,No,Rarely,Rarely,First page,Product recommendations,2023/06/08 5:41:46 PM GMT+5:30,46,4,4,4,4
Maybe,16-25,Few times a week,Found a better price elsewhere,Often,Prefer not to say,I don't have any problem with Amazon,Sometimes,Keyword,Beauty and Personal Care;Clothing and Fashion,Few times a month,Sometimes,Sometimes,No,Rarely,Sometimes,Multiple pages,Competitive prices,2023/06/08 5:42:23 PM GMT+5:30,24,5,5,4,2
No,26-35,Few times a week,Found a better price elsewhere,Sometimes,Prefer not to say,Product quality and accuracy,No,Filter,Groceries and Gourmet Food;Beauty and Personal Care,Once a month,No,No,Yes,Moderately,Often,Multiple pages,Competitive prices,2023/06/08 5:42:27 PM GMT+5:30,35,3,2,3,2
Maybe,46-55,Few times a week,Found a better price elsewhere,Sometimes,Female,Shipping speed and reliability,Sometimes,Filter,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Once a month,No,Sometimes,No,Moderately,Often,First page,Competitive prices,2023/06/08 5:43:45 PM GMT+5:30,46,2,2,2,2
Maybe,26-35,Multiple times a day,Found a better price elsewhere,Sometimes,Others,Customer service responsiveness,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Once a month,Sometimes,Sometimes,No,Moderately,Sometimes,Multiple pages,Product recommendations,2023/06/08 5:44:57 PM GMT+5:30,32,2,2,2,1
No,26-35,Multiple times a day,High shipping costs,Sometimes,Female,Customer service responsiveness,Sometimes,Keyword,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,No,Sometimes,No,Moderately,Often,Multiple pages,Product recommendations,2023/06/08 5:45:08 PM GMT+5:30,35,2,2,2,2
No,36-45,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,Reducing packaging waste,Yes,Filter,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Few times a month,Sometimes,No,No,Moderately,Sometimes,Multiple pages,Wide product selection,2023/06/08 5:45:59 PM GMT+5:30,36,2,2,2,1
No,5-15,Multiple times a day,High shipping costs,Often,Female,Product quality and accuracy,No,Keyword,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Multiple times a week,Yes,No,No,Moderately,Often,Multiple pages,Wide product selection,2023/06/08 5:46:49 PM GMT+5:30,15,3,1,2,2
Maybe,36-45,Rarely,Found a better price elsewhere,Sometimes,Prefer not to say,No problems with Amazon,Sometimes,Keyword,Groceries and Gourmet Food;Home and Kitchen;others,Less than once a month,Sometimes,Yes,No,Heavily,Sometimes,Multiple pages,Competitive prices,2023/06/08 5:47:32 PM GMT+5:30,43,1,1,3,1
Yes,16-25,Multiple times a day,Found a better price elsewhere,Often,Prefer not to say,Product quality and accuracy,Sometimes,categories,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Multiple times a week,No,No,Yes,Moderately,Often,First page,Product recommendations,2023/06/08 5:48:14 PM GMT+5:30,20,3,4,2,2
Maybe,26-35,Multiple times a day,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,Sometimes,categories,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Multiple times a week,No,Sometimes,No,Moderately,Sometimes,Multiple pages,User-friendly website/app interface,2023/06/08 5:48:55 PM GMT+5:30,34,2,2,1,1
Maybe,26-35,Few times a month,Found a better price elsewhere,Sometimes,Male,Customer service responsiveness,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Less than once a month,Sometimes,Sometimes,No,Occasionally,Often,Multiple pages,Competitive prices,2023/06/08 5:49:56 PM GMT+5:30,34,3,1,3,1
Maybe,46-55,Multiple times a day,Found a better price elsewhere,Sometimes,Female,Shipping speed and reliability,No,,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Few times a month,No,No,No,Moderately,Often,Multiple pages,Wide product selection,2023/06/08 5:49:59 PM GMT+5:30,47,1,2,3,2
Yes,16-25,Few times a week,Found a better price elsewhere,Often,Female,Shipping speed and reliability,Yes,Filter,Clothing and Fashion;Home and Kitchen;others,Few times a month,No,No,No,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/08 5:52:26 PM GMT+5:30,25,3,2,4,3
